brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Peugeot,2008,2020,44 882 km,,Elektryczny,136 KM,Automatyczna,SUV,5.0,,Biały,Używane,119 900        PLN
Peugeot,508,2012,290 000 km,1 560 cm3,Diesel,114 KM,Automatyczna,Sedan,5.0,5.0,Szary,Używane,24 500        PLN
Peugeot,206 plus,2009,116 650 km,1 124 cm3,Benzyna,60 KM,Manualna,Auta miejskie,5.0,5.0,Szary,Używane,11 500        PLN
Peugeot,308,2021,24 077 km,1 598 cm3,Hybryda,180 KM,Automatyczna,Kompakt,5.0,5.0,Niebieski,Używane,148 444        PLN
Peugeot,2008,2016,100 530 km,1 199 cm3,Benzyna,110 KM,Manualna,SUV,5.0,5.0,Szary,Używane,47 900        PLN
Peugeot,307,2006,259 000 km,1 587 cm3,Benzyna,110 KM,Manualna,Kombi,5.0,7.0,Czarny,Używane,10 900        PLN
Peugeot,2008,2017,51 000 km,1 199 cm3,Benzyna,110 KM,Manualna,SUV,5.0,5.0,Szary,Używane,47 800        PLN
Peugeot,5008,2011,236 500 km,1 997 cm3,Diesel,150 KM,Manualna,Minivan,5.0,7.0,Srebrny,Używane,31 200        PLN
Peugeot,5008,2014,187 200 km,1 560 cm3,Diesel,115 KM,Manualna,Minivan,5.0,5.0,Inny kolor,Używane,37 900        PLN
Peugeot,2008,2017,100 466 km,1 199 cm3,Benzyna,82 KM,Manualna,SUV,5.0,5.0,Szary,Używane,49 899        PLN
Peugeot,Partner,2013,240 000 km,1 560 cm3,Diesel,90 KM,Manualna,Minivan,4.0,2.0,Czerwony,Używane,14 900        PLN
Peugeot,508,2014,139 000 km,1 997 cm3,Diesel,150 KM,Manualna,Kombi,5.0,,Czarny,Używane,19 999        PLN
Peugeot,308,2016,141 993 km,1 598 cm3,Benzyna,205 KM,Manualna,Kompakt,5.0,5.0,Czerwony,Używane,58 900        PLN
Peugeot,3008,2021,81 000 km,1 499 cm3,Diesel,131 KM,Automatyczna,SUV,5.0,5.0,Biały,Używane,129 800        PLN
Peugeot,3008,2018,82 968 km,1 598 cm3,Benzyna,165 KM,Automatyczna,SUV,5.0,5.0,Granatowy,Używane,59 999        PLN
Peugeot,5008,2011,166 000 km,1 598 cm3,Benzyna,156 KM,Manualna,Minivan,5.0,7.0,Czarny,Używane,23 500        PLN
Peugeot,5008,2015,203 115 km,1 997 cm3,Diesel,150 KM,Manualna,Minivan,5.0,5.0,Srebrny,Używane,41 900        PLN
Peugeot,3008,2011,197 000 km,1 560 cm3,Diesel,112 KM,Automatyczna,SUV,5.0,5.0,Brązowy,Używane,29 900        PLN
Peugeot,3008,2018,118 000 km,1 499 cm3,Diesel,131 KM,Automatyczna,SUV,5.0,5.0,Szary,Używane,87 800        PLN
Peugeot,107,2012,86 000 km,998 cm3,Benzyna,68 KM,Manualna,Auta małe,5.0,4.0,Czarny,Używane,16 900        PLN
Peugeot,5008,2012,203 000 km,1 600 cm3,Benzyna,156 KM,Manualna,Minivan,5.0,5.0,Szary,Używane,24 700        PLN
Peugeot,2008,2015,123 736 km,1 199 cm3,Benzyna,110 KM,Manualna,SUV,5.0,5.0,Szary,Używane,45 990        PLN
Peugeot,2008,2015,180 000 km,1 398 cm3,Diesel,68 KM,Manualna,SUV,5.0,5.0,Czarny,Używane,38 700        PLN
Peugeot,207,2007,222 045 km,1 560 cm3,Diesel,90 KM,Manualna,Auta miejskie,5.0,5.0,Czarny,Używane,10 000        PLN
Peugeot,508,2014,226 217 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,37 000        PLN
Peugeot,308,2018,107 000 km,1 560 cm3,Diesel,99 KM,Manualna,Auta miejskie,5.0,5.0,Szary,Używane,51 500        PLN
Peugeot,3008,2019,57 000 km,1 598 cm3,Benzyna,180 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,123 000        PLN
Peugeot,308,2016,188 000 km,1 560 cm3,Diesel,120 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,27 900        PLN
Peugeot,2008,2014,122 000 km,1 560 cm3,Diesel,92 KM,Manualna,SUV,5.0,5.0,Brązowy,Używane,24 500        PLN
Peugeot,3008,2011,120 000 km,1 997 cm3,Diesel,149 KM,Manualna,SUV,5.0,5.0,Brązowy,Używane,34 900        PLN
Peugeot,508,2011,219 059 km,1 997 cm3,Diesel,140 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,37 000        PLN
